ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dev_cmd_max_rad,dev_cmd_rms_calf_stance,dev_cmd_rms_calf_swing,dev_cmd_rms_hip_stance,dev_cmd_rms_hip_swing,dev_cmd_rms_thigh_stance,dev_cmd_rms_thigh_swing,dev_meas_rms_calf_stance,dev_meas_rms_calf_swing,dev_meas_rms_hip_stance,dev_meas_rms_hip_swing,dev_meas_rms_thigh_stance,dev_meas_rms_thigh_swing,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,foot_axis,foot_cap_hit_frac,foot_clip_rad,foot_comp,foot_k,foot_lever_m,foot_sign,foot_swing_source,foot_t_stance_s,foot_vel_filter_hz,foot_vx_des,foot_vy_target,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,overwrite_frac_legsteps,overwrite_frac_time,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,swing_frac,switch_after_cycles,switch_step,switch_t_s,tag,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_off --trace-npz outputs/traces/footcomp/trot_off.npz --foot-comp off,off,0.0,0.0,0.0,0.0,0.0,0.32432231307029724,identity,0.5995747037231922,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2445509433746338,0.07038932293653488,0.12450631707906723,0.0633130595088005,0.15458865463733673,0.18615062534809113,0.020090821531248082,0.45918367346938777,0.4744897959183674,"[0.3673469387755102, 0.6122448979591837, 0.30612244897959184, 0.5510204081632653]",0.15,0.030612244897959183,,0.0,0.0,off,0.0,0.0,0,,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,98,0.0,0.0,0.0050227053828120205,off,0.0,lo,2026-08-29T09:03:27Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,1.555436643115643,0.41836734693877553,,,,trot_off,roll,1.948809688531064,,0.006802721088435374,FAIL,,0.3830695152282715,-0.21615459024906158,-1.7226946353912354
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap000 --trace-npz outputs/traces/footcomp/trot_cap000.npz --foot-comp raibert --foot-clip-rad 0,off,0.0,0.0,0.0,0.0,0.0,0.32432231307029724,identity,0.5995747037231922,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2445509433746338,0.07038932293653488,0.12450631707906723,0.0633130595088005,0.15458865463733673,0.18615062534809113,0.020090821531248082,0.45918367346938777,0.4744897959183674,"[0.3673469387755102, 0.6122448979591837, 0.30612244897959184, 0.5510204081632653]",0.15,0.030612244897959183,y,1.0,0.0,raibert,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,98,0.0,0.0,0.0050227053828120205,off,0.0,lo,2026-08-29T09:03:55Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,1.555436643115643,0.41836734693877553,,,,trot_cap000,roll,1.948809688531064,,0.006802721088435374,FAIL,,0.3830695152282715,-0.21615459024906158,-1.7226946353912354
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap002 --trace-npz outputs/traces/footcomp/trot_cap002.npz --foot-comp raibert --foot-clip-rad 0.02,off,0.0,0.0,0.0,0.0,0.0,0.3270201086997986,identity,0.58796776086092,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.019999999552965164,0.0,0.0,0.0,0.01943618804216385,0.0,0.0,0.262893408536911,0.07229403406381607,0.11231060326099396,0.0740763321518898,0.1518852710723877,0.16408342123031616,0.020090821531248082,0.513671875,0.509765625,"[0.375, 0.6640625, 0.3359375, 0.6796875]",0.15,0.0,y,0.9074074074074074,0.02,raibert,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,2,128,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T09:04:22Z,stand,2,0.014293946325778961,16,level,0.13432835820895522,1.4857902262597187,2.927880739982387,0.421875,,,,trot_cap002,roll,2.5515343344685064,,0.005208333333333333,FAIL,,0.43405681848526,-0.18851271271705627,2.942173480987549
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap005 --trace-npz outputs/traces/footcomp/trot_cap005.npz --foot-comp raibert --foot-clip-rad 0.05,off,0.0,0.0,0.0,0.0,0.0,0.3335344195365906,identity,0.6181183482209841,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.022225670516490936,0.0,0.0,0.24396151304244995,0.0688866451382637,0.1161646768450737,0.03363433852791786,0.1209273561835289,0.053456589579582214,0.020090821531248082,0.54296875,0.537109375,"[0.5869791666666667, 0.5692708333333333, 0.4713541666666667, 0.5442708333333334]",0.15,0.0,y,0.020061728395061727,0.05,raibert,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T09:04:49Z,stand,2,0.014293946325778961,16,level,0.018806214062007987,1.555436643115643,2.765220698872254,0.421875,,,,trot_cap005,,,,0.0,WARN,,0.6585094332695007,0.01522577740252018,5.321401119232178
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap010 --trace-npz outputs/traces/footcomp/trot_cap010.npz --foot-comp raibert --foot-clip-rad 0.10,off,0.0,0.0,0.0,0.0,0.0,0.33345603942871094,identity,0.614475354552269,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.07177290320396423,0.0,0.0,0.0,0.022562924772500992,0.0,0.0,0.24439823627471924,0.06903424859046936,0.11659325659275055,0.03391772508621216,0.12078802287578583,0.05341390147805214,0.020090821531248082,0.546875,0.5385416666666667,"[0.590625, 0.56875, 0.4744791666666667, 0.5536458333333333]",0.15,0.0,y,0.0,0.1,raibert,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,59,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T09:05:26Z,stand,2,0.014293946325778961,16,level,0.021524690488000462,1.555436643115643,2.765220698872254,0.421875,,,,trot_cap010,,,,0.0,WARN,,0.6587244868278503,0.014171812683343887,5.142751216888428
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap020 --trace-npz outputs/traces/footcomp/trot_cap020.npz --foot-comp raibert --foot-clip-rad 0.20,off,0.0,0.0,0.0,0.0,0.0,0.33345603942871094,identity,0.614475354552269,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.07177290320396423,0.0,0.0,0.0,0.022562924772500992,0.0,0.0,0.24439823627471924,0.06903424859046936,0.11659325659275055,0.03391772508621216,0.12078802287578583,0.05341390147805214,0.020090821531248082,0.546875,0.5385416666666667,"[0.590625, 0.56875, 0.4744791666666667, 0.5536458333333333]",0.15,0.0,y,0.0,0.2,raibert,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,59,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T09:06:03Z,stand,2,0.014293946325778961,16,level,0.021524690488000462,1.555436643115643,2.765220698872254,0.421875,,,,trot_cap020,,,,0.0,WARN,,0.6587244868278503,0.014171812683343887,5.142751216888428
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap040 --trace-npz outputs/traces/footcomp/trot_cap040.npz --foot-comp raibert --foot-clip-rad 0.40,off,0.0,0.0,0.0,0.0,0.0,0.33345603942871094,identity,0.614475354552269,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.07177290320396423,0.0,0.0,0.0,0.022562924772500992,0.0,0.0,0.24439823627471924,0.06903424859046936,0.11659325659275055,0.03391772508621216,0.12078802287578583,0.05341390147805214,0.020090821531248082,0.546875,0.5385416666666667,"[0.590625, 0.56875, 0.4744791666666667, 0.5536458333333333]",0.15,0.0,y,0.0,0.4,raibert,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,59,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T09:06:39Z,stand,2,0.014293946325778961,16,level,0.021524690488000462,1.555436643115643,2.765220698872254,0.421875,,,,trot_cap040,,,,0.0,WARN,,0.6587244868278503,0.014171812683343887,5.142751216888428
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag walk_off --trace-npz outputs/traces/footcomp/walk_off.npz --foot-comp off,off,0.0,0.0,0.0,0.0,0.0,0.31601953506469727,identity,0.4998604195813338,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316063940525055,0.04279344901442528,0.10046534240245819,0.027683930471539497,0.08026734739542007,0.04642242193222046,0.01977108591891901,0.5916666666666667,0.542454954954955,"[0.6481981981981982, 0.5527027027027027, 0.586036036036036, 0.5797297297297297]",0.15,0.0,,0.0,0.0,off,0.0,0.0,0,,0.48439160501351586,0.0,0.18746616149213685,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.0,0.0,0.004942771479729753,off,0.0,lo,2026-08-29T09:07:16Z,stand,3,0.026363134384155273,18,level,0.02117173335207636,1.3669976013388716,1.3669976013388716,0.33783783783783783,,,,walk_off,,,,0.0,WARN,,0.2328098565340042,-0.00022957818873692304,2.676110029220581
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag walk_cap005 --trace-npz outputs/traces/footcomp/walk_cap005.npz --foot-comp raibert --foot-clip-rad 0.05,off,0.0,0.0,0.0,0.0,0.0,0.3160277307033539,identity,0.5329795069992542,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.040190935134887695,0.0,0.0,0.2321527749300003,0.0421438030898571,0.10255441069602966,0.04920674487948418,0.08192294090986252,0.04644153639674187,0.01977108591891901,0.5875,0.5522522522522523,"[0.6522522522522523, 0.5527027027027027, 0.5617117117117117, 0.5833333333333334]",0.15,0.0,y,0.43033333333333335,0.05,raibert,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-29T09:08:34Z,stand,3,0.026363134384155273,18,level,0.023422657324677534,1.3669976013388716,1.3669976013388716,0.33783783783783783,,,,walk_cap005,,,,0.0,WARN,,0.2313266545534134,-0.003380662063136697,3.0016932487487793
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/foot_comp.csv --dev-csv outputs/foot_comp_dev.csv --tag trot_cap005_neg --trace-npz outputs/traces/footcomp/trot_cap005_neg.npz --foot-comp raibert --foot-clip-rad 0.05 --foot-sign -1,off,0.0,0.0,0.0,0.0,0.0,0.31716132164001465,identity,0.5271992643053333,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.04459770768880844,0.0,0.0,0.31069642305374146,0.08542199432849884,0.1386445015668869,0.10688508301973343,0.1556914895772934,0.14167623221874237,0.020090821531248082,0.46686746987951805,0.4879518072289157,"[0.3373493975903614, 0.5783132530120482, 0.21686746987951808, 0.7349397590361446]",0.15,0.03614457831325301,y,0.7391304347826086,0.05,raibert,0.0,0.31089838594198227,-1.0,clip,0.3716801983280895,0.0,0.443721311481766,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,0,83,0.41566265060240964,0.9036144578313253,0.0050227053828120205,off,0.0,lo,2026-08-29T09:09:11Z,stand,2,0.014293946325778961,16,level,nan,nan,16.591324193233525,0.41566265060240964,,,,trot_cap005_neg,roll,1.6474473655623427,,0.0,FAIL,,0.23659683763980865,-0.21658748388290405,14.088028907775879
