argv,dt,executed_switches,foot_comp,gate_deferrals,initial,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,switch_blend_s,switch_entry,switch_gate,term_reason,terminated_s
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/pairs_nearest.npz --schedule pairs --switch-entry nearest,0.02,1,on,,WALK,0.2374078631401062,,384,WALK>TROT,2,RUN,60,2026-08-29T12:07:41Z,pairs,1,1,2,,,,nearest,,roll,7.66
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/pairs_level.npz --schedule pairs --switch-entry level,0.02,1,on,,WALK,0.4822123646736145,,433,WALK>TROT,2,RUN,60,2026-08-29T12:08:10Z,pairs,1,1,2,,,,level,,roll,8.64
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/hold_trot.npz --schedule hold --initial TROT,0.02,0,on,,TROT,,,2000,,0,,0,2026-08-29T12:12:03Z,hold,0,1,1,,,,nearest,,,
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/hold_walk.npz --schedule hold --initial WALK,0.02,1,on,,WALK,0.22362518310546875,,79,WALK>TROT,1,,0,2026-08-29T12:12:40Z,hold,2,0,2,,,,nearest,,roll,1.56
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/pairs_contact.npz --schedule pairs --switch-entry contact,0.02,1,on,,WALK,0.2374078631401062,,384,WALK>TROT,2,RUN,60,2026-08-29T12:13:55Z,pairs,1,1,2,,,,contact,,roll,7.66
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/chatter_contact.npz --schedule chatter --switch-entry contact,0.02,1,on,,WALK,0.22362518310546875,,79,WALK>TROT,1,,0,2026-08-29T12:14:24Z,chatter,2,0,2,,,,contact,,roll,1.56
--headless --device cpu --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/pairs_from_trot.npz --schedule pairs --initial TROT --switch-entry contact,0.02,1,on,,TROT,0.3986029028892517,,701,TROT>WALK,3,RUN,60,2026-08-29T12:15:54Z,pairs,1,1,2,,,,contact,,roll,14.0
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_base.npz --switch-blend-s 0,0.02,1,on,,WALK,0.2374078631401062,,384,WALK>TROT,2,RUN,60,2026-08-29T12:41:32Z,pairs,1,1,2,off,0,0.0,contact,,roll,7.66
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_blend0.05.npz --switch-blend-s 0.05,0.02,1,on,,WALK,0.2374078631401062,,378,WALK>TROT,2,RUN,60,2026-08-29T12:42:01Z,pairs,1,1,2,off,0,0.05,contact,,roll,7.54
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_blend0.10.npz --switch-blend-s 0.10,0.02,1,on,,WALK,0.2374078631401062,,377,WALK>TROT,2,RUN,60,2026-08-29T12:42:30Z,pairs,1,1,2,off,0,0.1,contact,,roll,7.5200000000000005
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_blend0.20.npz --switch-blend-s 0.20,0.02,1,on,,WALK,0.2374078631401062,,382,WALK>TROT,2,RUN,60,2026-08-29T12:42:59Z,pairs,1,1,2,off,0,0.2,contact,,roll,7.62
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_blend0.40.npz --switch-blend-s 0.40,0.02,1,on,,WALK,0.2374078631401062,,380,WALK>TROT,2,RUN,60,2026-08-29T12:43:28Z,pairs,1,1,2,off,0,0.4,contact,,roll,7.58
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_speedgate.npz --speed-gate on,0.02,1,on,,WALK,0.25169605016708374,,451,WALK>TROT,2,RUN,71,2026-08-29T12:43:57Z,pairs,1,1,2,on,19,0.0,contact,,roll,9.0
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_settled.npz --switch-gate settled,0.02,1,on,2,WALK,0.31322669982910156,,402,WALK>TROT,2,RUN,60,2026-08-29T12:46:09Z,pairs,0,2,2,off,0,0.0,contact,settled,roll,8.02
--headless --device cpu --schedule pairs --results-csv outputs/planner_replay.csv --trace-npz outputs/traces/planner/sw_settled_blend.npz --switch-gate settled --switch-blend-s 0.10,0.02,1,on,2,WALK,0.31322669982910156,,374,WALK>TROT,2,RUN,60,2026-08-29T12:46:38Z,pairs,1,1,2,off,0,0.1,contact,settled,roll,7.46
